Adj Strategy,Grade,life_phase,n_obs,n_rep_gate,n_rep_pos,n_draw_pos,rep_p_mult,rep_ratio_mult,draw_p_mult,draw_ratio_mult,omega_bump,nav_floor_ratio,p_value_rep_prob,p_value_rep_ratio,p_value_draw_prob,p_value_draw_ratio,p_value_omega
Private Equity,C,post_5_8,12,12,1,0,1.0,1.0,1.0,1.0,0.0,0.5938284945000001,0.34682053490102493,1.0,0.0014268243695911842,1.0,0.26072181864226984
Private Equity,C,post_9_12,8,4,0,0,1.0,1.0,1.0,1.0,0.0,0.5938284945000001,0.3327703444401944,1.0,0.00917608722082286,1.0,1.0
Private Equity,D,far,224,199,27,120,1.0,0.982867975134754,1.1446559175531914,1.048225309069264,0.020657617286251984,0.0,0.13050640202482366,0.0024506447756231,2.350234873382817e-08,0.07775718287988126,6.210272233401073e-07
Private Equity,D,final,29,28,7,2,1.0,1.0,1.0,1.0,0.0,0.2537921665583493,0.3734134251715595,1.0,0.003979338050635439,1.0,0.020354853484022235
Private Equity,D,late,92,88,21,7,1.0,1.0171824623695152,0.9211966892472092,1.0,-0.009165575886353439,0.2513673275803581,0.21686403132470922,0.04389595726648646,1.261914635231065e-06,1.0,0.000392109601392369
Private Equity,D,mid,183,183,37,56,1.0,1.0,1.0,0.9606015060846291,-0.007236382575413055,0.0,0.5627683035021764,0.45938104423673,0.6767396062842839,0.00010920088123052381,0.05277790534862945
Private Equity,D,post_0_4,25,22,4,1,1.0,1.0,1.0,1.0,0.0,0.2537921665583493,0.9903427925565353,1.0,0.0028074717897075274,1.0,0.010452725304040804
Private Equity,D,post_12p,10,1,0,0,1.0,1.0,1.0,1.0,0.0,0.2537921665583493,0.636271929928661,1.0,0.029786058300512064,1.0,1.0
Private Equity,D,post_5_8,12,11,1,1,1.0,1.0,1.0,1.0,0.0,0.2537921665583493,0.4331020271991466,1.0,0.0781860831016703,1.0,0.4785275829302119
Private Equity,D,post_9_12,8,4,1,1,1.0,1.0,1.0,1.0,0.0,0.2537921665583493,0.7294420938871062,1.0,0.23427989120570025,1.0,1.0
Special Structure/ FoF,B,far,63,50,28,42,1.0,1.0,1.0,1.0,0.0,0.0,0.6229110597860819,0.7202884324868423,0.6023184366406578,0.8986328044420997,0.532449538073446
Special Structure/ FoF,B,final,8,8,0,0,1.0,1.0,1.0,1.0,0.0,0.6051744387896512,,,,,
Special Structure/ FoF,B,late,17,17,8,3,1.0,1.0,1.0,1.0,0.0,0.6051744387896512,,,,,
Special Structure/ FoF,B,mid,6,6,6,1,1.0,1.0,1.0,1.0,0.0,0.0,0.05594911662442614,1.0,0.029395880600252333,1.0,1.0
Special Structure/ FoF,B,post_0_4,5,5,2,0,1.0,1.0,1.0,1.0,0.0,0.6051744387896512,,,,,
Special Structure/ FoF,B,post_12p,48,27,5,0,1.0,1.0,1.0,1.0,0.0,0.7112196319319608,,,,,
Special Structure/ FoF,B,post_5_8,98,85,6,1,1.0,1.0,1.0,1.0,0.0,0.5362648431280983,,,,,
Special Structure/ FoF,B,post_9_12,52,40,3,2,1.0,1.0,1.0,1.0,0.0,0.5560568009248902,,,,,
Special Structure/ FoF,C,far,199,161,16,53,0.9146269737139755,1.0,1.0,1.0,0.0,0.0,0.006234458022165157,0.3189863905065677,0.37076182924431933,0.9379680093482424,0.11411742773432743
Special Structure/ FoF,C,final,8,8,0,0,1.0,1.0,1.0,1.0,0.0,0.6051744387896512,0.15567844582941026,1.0,0.12357794676845701,1.0,0.054328961185299326
