quarter_end,sim_draw_mean,sim_rep_mean,sim_nav_mean,sim_rc_mean,sim_draw_p10,sim_draw_p50,sim_draw_p90,sim_rep_p10,sim_rep_p50,sim_rep_p90,sim_nav_p10,sim_nav_p50,sim_nav_p90,sim_rc_p10,sim_rc_p50,sim_rc_p90,sim_dpi_p05,sim_dpi_p50,sim_dpi_p95
2039-09-30,2908976.382461308,131719702.45060354,1982779527.444941,9464638.109769193,0.0,503289.4697999548,7580459.315926043,18607402.32695111,89394821.58746117,297293527.03931797,1198714717.4049957,1873371258.418359,2871215764.097043,0.0,4.5864825059382515,12924867.2022003,1.2600564018823854,1.501720085403836,1.8535511936460436
2039-12-31,3328015.929972921,119463435.99288268,1843030366.0921087,5934400.477395754,0.0,446618.4526686256,8659919.349066688,18094808.34543689,82227694.77862833,261224892.17145592,1086126543.4208272,1735651865.2714317,2711787384.378067,0.0,1.8615426287094972,9129512.263540033,1.2740581973794487,1.5234957449861317,1.8694148423165144
2040-03-31,2640556.147549239,107120257.78035174,1727459235.0409298,5130021.171190684,0.0,252387.1480521666,7651276.165610594,14158495.0645062,70773107.593455,242689550.41723058,995732776.1154,1619965948.558385,2549417744.176106,0.0,0.0,10093091.608799934,1.295553491707734,1.538463352352852,1.8874095594478992
2040-06-30,1820693.058604727,106804012.05458844,1571068492.2008307,7823380.576991072,0.0,34294.52336637824,4973563.502870929,14467434.152861,68811256.36890176,235253652.928219,908863448.127205,1475209463.453093,2352254767.0895805,0.0,0.0,9252716.852937166,1.3113319487064614,1.5561441548571704,1.9066958373966818
2040-09-30,1826933.9411293613,95587218.86128221,1427032051.2973027,9714387.309743466,0.0,0.0,4877369.558589812,12703438.441764731,60032884.56512724,210132607.0349041,813106190.8321797,1335526117.1438203,2132117401.1061847,0.0,0.0,11643966.040205665,1.3277261030166703,1.570127271248778,1.9232712818179696
2040-12-31,1694861.5068170233,80589712.16460082,1294663699.0900857,4681554.149945524,0.0,0.0,4258618.429250556,11705770.707663607,48417813.69623977,177280255.95169285,723299124.0514847,1220429838.342628,1931810407.6881523,0.0,0.0,6474037.811526128,1.3394793575475106,1.584321080017718,1.9354614268919694
2041-03-31,1228309.7334699421,72257321.51131925,1187560473.2351723,5204714.036587543,0.0,0.0,3597759.247955271,11409380.92755824,46862555.47527826,151220391.86184943,653215357.2964189,1111512754.2025812,1772287232.714702,0.0,0.0,6125229.4914413085,1.3497680109464387,1.598182938993217,1.9543116253365818
2041-06-30,1119445.3580080275,72199396.6155229,1073237616.772809,5673618.037655625,0.0,0.0,2643817.1540103843,9266649.026382625,48520633.36173682,166797686.07928354,574159497.4994017,1006213894.266876,1651405722.6961112,0.0,0.0,6849708.630519311,1.358250490426129,1.6077684794583564,1.967425752879628
2041-09-30,1021075.0107306958,63425917.28468512,972486908.6597798,5442919.139257865,0.0,0.0,2664146.967488892,8213725.792302634,39453028.632465824,133577571.601192,529016937.934751,900256113.432852,1513895908.9680867,0.0,0.0,5070027.703109399,1.3650004724602005,1.6199992659552864,1.9844506825547825
2041-12-31,982615.3965571956,58531255.477969676,878164041.5778584,5776610.050174078,0.0,0.0,2549689.7835155944,7733724.27182916,38632226.495832175,131309268.05093582,467588650.42337716,811418238.5024655,1372218232.2461314,0.0,0.0,6030044.693306906,1.3733259489275214,1.6301278274614732,1.9982757865042666
2042-03-31,743910.2240439294,57261050.10376266,764396480.5389103,4109987.2826583292,0.0,0.0,1469823.745724639,7357235.474071322,37307548.3068782,133331670.26988548,390477454.5309536,704471719.5316205,1184279978.240109,0.0,0.0,4409133.530238812,1.3821814939747536,1.6421483347133017,2.0116449565567245
2042-06-30,703740.5050842013,51565912.129733875,661079448.2212133,4707041.036709023,0.0,0.0,1545361.3632920878,6587163.865905562,32774632.38603169,110526934.40704098,331404762.7724524,597792382.0216682,1036355911.2914828,0.0,0.0,3614941.4329081606,1.388805398001381,1.6512977655613477,2.0213112368583044
2042-09-30,248805.37421252564,42060155.76907672,569272387.8580586,2805502.965660938,0.0,0.0,186435.98072193365,5786965.431948818,26038582.07272261,95415522.80244708,281027171.9425424,506707644.61866546,907455960.101053,0.0,0.0,3300983.8280257783,1.3931917659704058,1.657646962897128,2.0268181016944893
2042-12-31,173524.71833374246,39166194.46887093,492417323.5596912,2849151.242000849,0.0,0.0,62919.492713288295,5001487.82323653,24334531.094312437,82265390.79836014,236281983.91821936,435347662.0138438,789284132.1989123,0.0,0.0,3110805.647877545,1.4022090928682345,1.662580891393959,2.033311022356828
2043-03-31,0.0,33029727.187383942,401088204.69025826,3316303.903163229,0.0,0.0,0.0,3416851.668446714,18884648.288062047,78769471.38999942,193014598.06967917,355269490.3929626,640116706.442583,0.0,0.0,2584435.4909855267,1.4041921419679515,1.6715054260317348,2.0432552493251257
2043-06-30,0.0,27505325.500712775,328731791.4549959,2103789.0105512114,0.0,0.0,0.0,3298175.8103227494,16438760.383216027,64937615.33518435,154129766.99270245,285850327.7043266,546897190.2495567,0.0,0.0,1747096.6301688738,1.4102919502375957,1.6757758753405019,2.0500678619093122
2043-09-30,0.0,23391269.124478105,266865522.9269558,1349969.8269550232,0.0,0.0,0.0,2437992.9588175234,13322944.906837545,52025287.607390374,120144044.22761592,227532763.72279227,449343075.0258804,0.0,0.0,1610932.8681984378,1.4111458062161453,1.6787807510628288,2.0584024232895084
2043-12-31,0.0,18942368.137635868,217161829.85869405,1957955.3193765443,0.0,0.0,0.0,1598245.4380641088,10433717.382850833,42776908.818915844,93437562.06509118,183156789.4611389,369478501.02700126,0.0,0.0,1350931.4120326377,1.412514110780982,1.6809538303796088,2.0632004498916072
2044-03-31,0.0,15315401.876004908,170136330.50127825,1934700.7055539167,0.0,0.0,0.0,1256610.7864620592,7833811.5374999,35791829.88553943,72605752.37556756,142973959.93424287,291576998.40357727,0.0,0.0,997896.5444832022,1.4170878312169095,1.6843743967024447,2.0641796680198508
2044-06-30,0.0,11344664.160149198,131561331.28278671,1563374.1929507286,0.0,0.0,0.0,920072.6452542875,6399309.083743088,26415049.63647317,53802890.6377799,108330103.6297472,230665111.44269073,0.0,0.0,587198.9074022878,1.4183700296715314,1.6868347935879273,2.0670070196089037
2044-09-30,0.0,8691091.085598601,100608461.01019903,883734.7411493369,0.0,0.0,0.0,605425.5707548326,4789054.923593817,20027115.542716287,40613361.16576458,83077203.12374365,180158639.7590624,0.0,0.0,474358.0698219777,1.4210903771535601,1.6876576750089332,2.0717447372707154
2044-12-31,0.0,6544419.624903382,75280209.24853937,468099.34938042506,0.0,0.0,0.0,524182.2610568535,3734928.278018955,14831130.53802649,29512721.368292682,60934734.656317964,132379071.66169082,0.0,0.0,428511.2521063421,1.4218105126787401,1.6886024828303487,2.0732988051271355
2045-03-31,0.0,5098220.782609354,56113436.29644067,657108.504793721,0.0,0.0,0.0,388866.5348084091,2577982.737898007,11509910.525964089,22063017.037763994,45876247.65949881,100946948.74826743,0.0,0.0,273648.98900708865,1.422315316306861,1.6888924451515361,2.077334210391643
